55.18%		50%		0.50%		
55.23%		50%		0.50%		
55.23%		50%		0.46%		
57.33%		50%		0.22%		
57.44%		50%		0.28%		
57.33%		50%		0.28%		
57.33%		50%		0.42%		
57.33%		50%		0.42%		
57.33%		50%		0.42%		
57.33%		50%		0.39%		
57.28%		50%		0.39%		
57.28%		50%		0.35%		
57.33%		50%		0.35%		
57.33%		50%		0.38%		
57.33%		50%		0.51%		
57.28%		50%		0.51%		
57.33%		50%		0.55%		
57.33%		50%		0.55%		
57.28%		50%		0.51%		
57.33%		50%		0.51%		
57.28%		50%		0.55%		
57.33%		50%		0.55%		
57.33%		50%		0.50%		
57.33%		50%		0.50%		
57.28%		50%		0.50%		
57.28%		50%		0.46%		
57.28%		50%		0.46%		
57.33%		50%		0.42%		
57.28%		50%		0.42%		
57.28%		50%		0.47%		
57.28%		50%		0.47%		
57.28%		50%		0.43%		
57.28%		50%		0.43%		
57.33%		50%		0.48%		
57.33%		50%		0.48%		
57.33%		50%		0.48%		
57.28%		50%		0.44%		
57.33%		50%		0.44%		
57.33%		50%		0.40%		
57.33%		50%		0.40%		
57.33%		50%		0.37%		
57.28%		50%		0.37%		
57.38%		50%		0.42%		
57.38%		50%		0.42%		
57.33%		50%		0.47%		
57.33%		50%		0.47%		
57.33%		50%		0.43%		
57.33%		50%		0.43%		
57.38%		50%		0.43%		
57.33%		50%		0.48%		
57.28%		50%		0.48%		
57.33%		50%		0.27%		
57.33%		50%		0.27%		
57.38%		50%		0.21%		
57.33%		50%		0.19%		
57.38%		50%		0.07%		
57.38%		50%		0.07%		
57.28%		50%		0.05%		
57.38%		50%		0.19%		
57.33%		50%		0.20%		
57.38%		50%		0.20%		
59.17%		50%		1.00%		
59.17%		50%		1.00%		
59.22%		50%		0.72%		
59.22%		50%		0.72%		
59.27%		50%		0.75%		
59.22%		50%		0.75%		
59.22%		50%		0.77%		
59.22%		50%		0.77%		
59.27%		50%		0.77%		
59.27%		50%		0.79%		
59.27%		50%		0.79%		
59.22%		50%		0.72%		
59.22%		50%		0.72%		
59.27%		50%		0.75%		
59.27%		50%		0.75%		
59.27%		50%		0.77%		
59.27%		50%		0.77%		
59.33%		50%		0.70%		
59.27%		50%		0.70%		
59.27%		50%		0.70%		
59.22%		50%		0.65%		
59.12%		50%		0.65%		
59.12%		50%		0.60%		
59.06%		50%		0.60%		
59.06%		50%		0.79%		
59.12%		50%		0.79%		
59.12%		50%		0.81%		
59.12%		50%		0.81%		
59.12%		50%		0.74%		
59.12%		50%		0.74%		
58.96%		50%		0.74%		
58.96%		50%		0.68%		
58.91%		50%		0.68%		
58.91%		50%		0.63%		
58.91%		50%		0.58%		
58.91%		50%		0.58%		
58.85%		50%		0.58%		
58.91%		50%		0.61%		
58.91%		50%		0.61%		
58.96%		50%		0.56%		
59.38%		50%		0.56%		
59.38%		50%		0.52%		
59.06%		50%		0.52%		
59.06%		50%		0.47%		
59.01%		50%		0.47%		
59.17%		50%		0.68%		
59.27%		50%		0.68%		
58.96%		50%		0.68%		
58.91%		50%		0.62%		
58.96%		50%		0.62%		
58.91%		50%		0.65%		
58.96%		50%		0.65%		
58.91%		50%		0.76%		
58.91%		50%		0.76%		
58.91%		50%		0.70%		
58.91%		50%		0.70%		
58.91%		50%		0.64%		
58.91%		50%		0.64%		
58.91%		50%		0.59%		
58.91%		50%		0.59%		
58.96%		50%		0.62%		
58.91%		50%		0.62%		
58.96%		50%		0.65%		
59.01%		50%		0.65%		
59.06%		50%		0.65%		
59.01%		50%		0.60%		
58.96%		50%		0.60%		
58.96%		50%		0.55%		
58.96%		50%		0.55%		
58.96%		50%		0.51%		
58.96%		50%		0.51%		
59.01%		50%		0.47%		
58.96%		50%		0.47%		
58.96%		50%		0.43%		
58.96%		50%		0.43%		
58.96%		50%		0.43%		
58.96%		50%		0.40%		
58.96%		50%		0.40%		
59.12%		50%		1.23%		
59.17%		50%		1.29%		
58.70%		50%		1.29%		
58.64%		50%		1.18%		
58.70%		50%		1.18%		
58.64%		50%		1.09%		
58.64%		50%		1.09%		
58.64%		50%		1.00%		
58.64%		50%		1.00%		
58.64%		50%		1.00%		
58.64%		50%		1.00%		
